Name;Author;Price;About
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;906 ₽;906 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Мосян Т.: Система Спаси-Себя-Сам для Главного Злодея. Том 2. (книга+тату+открытка+кардхолдер);Хиты китайского фэнтези;1 250 ₽;1 250 ₽;Прошло три года с тех пор, как Шэнь Цинцю предал Ло Бинхэ. Осталось всего пару лет, прежде чем его «умерший» ученик восстанет из мёртвых, пылая жаждой отмщения... По крайней мере, так должен был развиваться сюжет «Пути гордого бессмертного демона».
Ускова О.: Раша;Трансгуманизм fiction;799 ₽;799 ₽;Иерусалим-Москва-Донецк - огненная ось нашего времени. В этом треугольнике проходят глобальное обновление весь реальный мир и герои романа, из их становления и соткана эта книга. Любовь и Предательство, Искушение деньгами и Властью, Право на смерть и Право на жизнь. Что перед нами - публицистика с элементами мистики или фэнтези про мир, вооруженный воюющим Искусственным Интеллектом и занавешенный документальными событиями? Всё, что описано в книге, происходит сегодня непосредственно с каждым из нас. И всем приходится отвечать на вопросы: - кто я? - с кем я? - где моя Родина? - зачем я на этой Земле? Герои книги нашли свои ответы... "О чём-то из сегодняшних событий мы постараемся забыть в будущем, но роман «Раша» напомнит, какими мы были, как думали, чего боялись, на что надеялись. В этом его главная ценность."
Греймс Джульет: Семь или восемь смертей Стеллы Фортуны;Джульет Греймс;106 ₽;106 ₽;Для Стеллы Фортуны смерть всегда была частью жизни. Ее детство полно странных и опасных инцидентов — такие банальные вещи, как приготовление ужина или кормление свиней неизбежно приводят к фатальной развязке. Даже ее мать считает, что на Стелле лежит какое-то проклятие. Испытания делают девушку крепкой и уверенной, и свой волевой характер Стелла использует, чтобы защитить от мира и жестокого отца младшую, более чувствительную сестренку Тину.
Миссироли Марко: Верность;Марко Миссироли;91 ₽;91 ₽;Вы еще не читали более итальянского романа: действие книги «Верность» Марко Миссироли происходит в Милане, и каждый закуток, ресторан, виа и пьяцца, хранят в себе воспоминание, желание или страсть. Карло и Маргерита женаты уже несколько лет, и даже бесспорная и неумирающая любовь друг к другу не мешает им вожделеть других людей. Карло не может оторвать взгляд от своей студентки Софии, которая робко улыбается на лекциях. Маргерита фантазирует о сильных руках Андреа — ее физиотерапевта. Стоит ли им поддаться соблазну? Сможет ли выстоять их брак? И какова цена верности на самом деле?
Линч Скотт: Хитрости Локка Ламоры;Скотт Линч;823 ₽;823 ₽;«Свежо, оригинально, крайне занимательно — и великолепно исполнено» (Джордж Мартин). Однажды Воровской наставник явился к отцу Цеппи, Безглазому священнику храма Переландро, чтобы сбыть с рук несносного мальчишку Локка Ламору. Ведь Ламора, хоть и прирожденный вор, был воистину несносен, и для его исключительных талантов город-государство Каморр — прорезанное десятками каналов, раскинувшееся на множестве островов под сенью исполинских башен из стекла Древних — могло оказаться тесным. С течением лет Локку и его Благородным Канальям сходит с рук многое, вплоть до нарушения Тайного уговора, регулирующего всю жизнь Путных людей Каморра, но вот в закулисье преступного сообщества появляется Серый король — безжалостный, невидимый и неуязвимый убийца, — внося свои коррективы в очередную гениальную аферу Локка…
Проглядова Олеся Константиновна: Nomen nescio. Имя неизвестно;Олеся Проглядова;91 ₽;91 ₽;«Nomen nescio. Имя неизвестно» — книга-загадка, книга-борьба. Эн не помнит, как ее зовут, но знает, за что стоит сражаться.
Бишоп Эйвери: Школа безумия;Эйвери Бишоп;103 ₽;103 ₽;Грейс Фармер хочет добавить вас в жертвы.
Липпман Лора: Леди в озере;Лора Липпман;103 ₽;103 ₽;БЕСТСЕЛЛЕР NEW YORK TIMES.
Леви Дебора: Человек, который видел все;Дебора Леви;91 ₽;91 ₽;Новая удивительная история от автора романов «Горячее молоко» и «Заплыв домой», роман, вошедший в Букеровский список 2019 года.
Сайн Ш.: На минном поле расцвели сады. Сила нежных стихов;Поэты нашего времени. Лирика, меняющая сердца;600 ₽;600 ₽;Вторая книга стихотворений от автора бестселлера Шахназ Сайн. Человеческое нутро, считает Шахназ, это минное поле, усыпанное терзающими сомнениями, страхом, гневом, и всем, что его ломает. Но минное поле расцветет, как только мины будут найдены и обезврежены нашими руками, стараниями и верой: в первую очередь верой в себя, в свои силы и в свои возможности. Эту истину Шахназ Сайн передала простыми жизненными стихами и цитатами. Придет время, когда расцветет сломленное сердце, и распустятся цветы на оголенных ветках души человека, и поднимется солнце над когда-то минным полем, отныне покрытым бескрайними садами красных роз. Книга сопровождается авторскими иллюстрациями, созданными Шахназ специально для этого издания
Дж. Э. Шеверс: Хрустальные Звёзды;Русское фэнтези;91 ₽;91 ₽;Книга - победитель литературного конкурса, организованного издательством «Эксмо» и литературным порталом Author.today (около 400 000 зарегистрированных пользователей).
Семенова М.: Братья. Книга 3. Завтрашний царь. Том 2;Миры Марии Семеновой;695 ₽;695 ₽;Долгожданное продолжение истории о братьях, начатой романами «Тайный воин» и «Царский витязь»! Второй десяток лет длится зима, постигшая мир после космической катастрофы. Всё свирепее метели, всё беспощаднее морозы, но люди живут, путешествуют, отстаивают каждый свою правду… Линии судеб героев неуклонно указывают на город Шегардай. Сюда прибывает официальный престолонаследник: успешное правление в городе, где когда-то властвовал его отец, должно открыть юноше дорогу к царскому трону. На праздник стекаются самые разные люди, в том числе потешники-скоморохи. Кто заподозрит, что молодой витязь, охраняющий лицедеев, тоже имеет право на державный венец? Хромой раб, творец удивительных песен, решается на побег. За стенами Шегардая у него остались недоделанные дела, неотданные долги… А бесконечными морозными пустошами бегут на лыжах два тайных воина. Они везут на север запечатанное письмо. Быть может, в нём приказ о расправе над семьёй их сгинувшего наставника?
Фаулер Тереза Энн: Хорошее соседство;Тереза Энн Фаулер;114 ₽;114 ₽;«Восхитительно… Я прочла эту книгу за один присест». — Джоди Пиколт, автор бестселлера «Уроки милосердия»
